Content,Likes,Retweets,Replies,Quotes,Views,Labels,cleaned_sentence,encoded_labels
@BasilioCC @safaricom Safaricom has joined hands with crooks and Conmen to swindle Kenyans,1,0,1,0,0,Hate Speech,BasilioCC safaricom Safaricom has joined hands with crooks and Conmen to swindle Kenyans,2
"@safaricom, I want home WiFi connection. Kindly get in touch. Location, Imara Daima",0,0,0,0,54,Neutral,safaricom I want home WiFi connection Kindly get in touch Location Imara Daima,6
@SafaricomPLC @darrellmadegwa Jana what happened data zilikua zinaisha kama maji... Would you kindly explain that.. @safaricom,0,0,1,0,49,Internet or airtime bundle complaint,SafaricomPLC darrellmadegwa Jana what happened data zilikua zinaisha kama maji Would you kindly explain that safaricom,3
"#Kenya frontier stock index front, +42% 4 mo. @Safaricom - 1/5  half yr profit to KSH 42 billion #Ethiopia loss drag. Home market only +12% to 85 billion. FY 2026 breakeven hope, 500 tower limit Amhara region war. No list intend Ethio startup stock exchange Q4.#EmergingMarkets",0,0,1,0,168,Neutral,Kenya frontier stock index front 42 4 mo Safaricom 15 half yr profit to KSH 42 billion Ethiopia loss drag Home market only 12 to 85 billion FY 2026 breakeven hope 500 tower limit Amhara region war No list intend Ethio startup stock exchange Q4EmergingMarkets,6
@AndyMaina_ @Safaricom needs to block the people or groups sending this sms; i got it on my phone today,0,0,0,0,251,Data protection and privacy concern,AndyMaina Safaricom needs to block the people or groups sending this sms i got it on my phone today,1
@Reni6ce @Brianmbunde @safaricom @Telkom @Airtel Toa safaricom hapo,2,0,1,0,0,Neutral,Reni6ce Brianmbunde safaricom Telkom Airtel Toa safaricom hapo,6
@orengo_james @safaricom Mpesa foundation delivers,1,0,0,0,52,Neutral,orengojames safaricom Mpesa foundation delivers,6
@PhillipMacloud @UNEP @NemaKenya @netfund @PACJA1 @WWF @Greenpeace @kfs @kws @kwta @Fibanda1 @safaricom @spheelmodels @ForAffair @muindi_elijah @SpiceWarriors @DrAlfredMutua @MachakosC Smart!,3,0,0,0,0,Neutral,PhillipMacloud UNEP NemaKenya netfund PACJA1 WWF Greenpeace kfs kws kwta Fibanda1 safaricom spheelmodels ForAffair muindielijah SpiceWarriors DrAlfredMutua MachakosC Smart,6
"At the Pre-Mashujaa Conference in Kapkatet Stadium, where I shared @Safaricom's vision for a tech-empowered Universal Health Coverage. Together, we can ensure that every Kenyan has a right to quality care and make healthcare a birthright, not a privilege! #HealthTech #MashujaaDay https://t.co/CJNDrcZb2I",42,13,3,2,4771,Neutral,At the PreMashujaa Conference in Kapkatet Stadium where I shared Safaricoms vision for a techempowered Universal Health Coverage Together we can ensure that every Kenyan has a right to quality care and make healthcare a birthright not a privilege HealthTech MashujaaDay,6
"@BigmanDarsil @SafaricomPLC Enjoy 25% off the purchase of a 4G Wi-Fi router by @Safaricom that is fast,reliable &amp;portable.This offer ends on the 5th of January 2025. From 2999 to 2250 Kenyan shillings plus free30GB.#FeelsGoodToUpgrade #FeelsGoodToBeHome 
Get the router on https://t.co/Maic5PsQum by",2,5,0,0,183,Neutral,BigmanDarsil SafaricomPLC Enjoy 25 off the purchase of a 4G WiFi router by Safaricom that is fastreliable ampportableThis offer ends on the 5th of January 2025 From 299 to 2250 Kenyan shillings plus free30GBFeelsGoodToUpgrade FeelsGoodToBeHome Get the router on by,6
"@SafaricomPLC  @safaricom  it's becoming  unbearable your network is very weak for the last 3 days here in Awendo, Migori what's wrong?",0,0,1,0,0,Network reliability problem,SafaricomPLC safaricom it is becoming unbearable your network is very weak for the last 3 days here in Awendo Migori what is wrong,5
@SafaricomPLC @PeterNdegwa_ @safaricom Check inbox 📩,2,0,2,0,57,Neutral,SafaricomPLC PeterNdegwa safaricom Check inbox,6
"We shall be here @safaricom, on the day that mtapotea kwa market ka kamisi. https://t.co/fXMfq3vlx6",15,7,0,0,1342,Neutral,We shall be here safaricom on the day that mtapotea kwa market ka kamisi,6
@fadhilimwambin2 @safaricom Bro umepotea Sana,0,0,1,0,0,Neutral,fadhilimwambin2 safaricom Bro umepotea Sana,6
"@Eugenetakesoff In my shagz @Safaricom took down the nearest cell tower and now you can barely even call let alone use the internet.

We are supposed to protect such nonsense?🤦🏾‍♂️

Either they step up so that we don’t need starlink or the laws of the free market should continue",0,0,1,0,42,Network reliability problem,Eugenetakesoff In my shagz Safaricom took down the nearest cell tower and now you can barely even call let alone use the internet We are supposed to protect such nonsense Either they step up so that we dont need starlink or the laws of the free market should continue,5
"Did @DCI_Kenya catch ""Amazon Web Worker"" scammers?
@NPSOfficial_KE @PoliceKE @NPSC_KE @IG_NPS 

Easy to trace transactions through @Safaricom Mpesa?

Also with DST and VAT, @KRACare is an interested party?

@ntvkenya @citizentvkenya @LarryMadowo @BBCAfrica @bbcswahili @DannMwangi",0,0,0,0,0,Data protection and privacy concern,Did DCIKenya catch Amazon Web Worker scammers NPSOfficialKE PoliceKE NPSCKE IGNPS Easy to trace transactions through Safaricom Mpesa Also with DST and VAT KRACare is an interested party ntvkenya citizentvkenya LarryMadowo BBCAfrica bbcswahili DannMwangi,1
@safaricom and @SafaricomPLC  check dm,0,0,0,0,1,Neutral,safaricom and SafaricomPLC check dm,6
"@mapour211 @safaricom That's true, mtn and Zain have monopolised our telecommunications system",0,0,0,0,0,Neutral,mapour211 safaricom that is true mtn and Zain have monopolised our telecommunications system,6
"M-PESA takes another step in driving financial inclusion for Kenya 🇰🇳

Launched by @Safaricom &amp; @Visa, the new #M_Pesa Global Pay virtual card will enable customers to use the #mobilemoney service to shop at more than 100 million stores.",3,1,0,0,0,Neutral,MPESA takes another step in driving financial inclusion for Kenya Launched by Safaricom amp Visa the new MPesa Global Pay virtual card will enable customers to use the mobilemoney service to shop at more than 100 million stores,6
"There's not an exploitative ISP company we like @safaricom
#BreakSafaricomMonopoly",0,0,1,0,0,Hate Speech,there is not an exploitative ISP company we like safaricom BreakSafaricomMonopoly,2
"Devices produced by #Kenya's new #smartphone factory could cost 30% less than the models currently being imported, says Peter Ndegwa, CEO of @safaricom. 

Read more here: https://t.co/YATYg7SVAi https://t.co/DotFjTNxet",3,2,0,0,270,Neutral,Devices produced by Kenyas new smartphone factory could cost 30 less than the models currently being imported says Peter Ndegwa CEO of safaricom Read more here,6
@rotichkipdenis @safaricom @Safaricom_Care @AIRTEL_KE @TelkomKenya They need to improve their networks.This exploitation by safcom is just too much.,1,0,1,0,0,Network reliability problem,rotichkipdenis safaricom SafaricomCare AIRTELKE TelkomKenya They need to improve their networksThis exploitation by safcom is just too much,5
"@AIRTEL_KE 0784534556 is my Airtel number. I renewed BAZU DATA on 1/1/2025 and it's due to expire on 31/1/2025. However, from today around 4pm, the Airtel data stopped working and I'm forced to rely on @Safaricom data. Please help solve the problem. Thanks.",0,0,0,0,34,Internet or airtime bundle complaint,AIRTELKE 0784534556 is my Airtel number I renewed BAZU DATA on 112025 and it is due to expire on 3112025 However from today around 4pm the Airtel data stopped working and I am forced to rely on Safaricom data Please help solve the problem Thanks,3
@safaricom sikuhizi mnauza sim cards zenye sisi hutumia ama rada ni gani?,0,0,0,0,21,Customer care complaint,safaricom sikuhizi mnauza sim cards zenye sisi hutumia ama rada ni gani,0
This thread will make you cry. @safaricom @zuku @faiba @(insert any ISP in Kenya) we are getting shafted as users.,1,0,3,0,0,Neutral,This thread will make you cry safaricom zuku faiba insert any ISP in Kenya we are getting shafted as users,6
"@Sam_Kim_M @safaricom These are the comments people make because they want to appear ""progressive"" and ""different"" from other leaders.",8,0,0,0,0,Neutral,SamKimM safaricom These are the comments people make because they want to appear progressive and different from other leaders,6
@vickyford @safaricom @vodafone @BritishIntInv @UKinEthiopia This is the reason why we are saying you are lobbying on behalf of @VodafoneGroup  to earn millions. YOu have no care for human rights violations in #Tigray as far as @AbiyAhmedAli implements the commitments he made to you.,2,3,0,0,0,Hate Speech,vickyford safaricom vodafone BritishIntInv UKinEthiopia This is the reason why we are saying you are lobbying on behalf of VodafoneGroup to earn millions YOu have no care for human rights violations in Tigray as far as AbiyAhmedAli implements the commitments he made to you,2
"@UNEP
@NemaKenya
@UnEnvironment
@NetFund
@Pacja1
@Wwf @GreenPeace
@Kfs @Kws @KWTA
@Fibanda1
@Safaricom @spheelmodels @ForAffair @muindi_elijah @SpiceWarriors @DrAlfredMutua @MachakosC 
What is Biodiversity?
#IDF2020
#MachakosCountyConservationMission
#10MTreePlantingChallenge https://t.co/i5RXd95OCm",6,3,2,0,0,Neutral,UNEP NemaKenya UnEnvironment NetFund Pacja1 Wwf GreenPeace Kfs Kws KWTA Fibanda1 Safaricom spheelmodels ForAffair muindielijah SpiceWarriors DrAlfredMutua MachakosC What is Biodiversity IDF2020 MachakosCountyConservationMission 10MTreePlantingChallenge,6
@Safaricom_Care @Ngangat1 Surely @safaricom mbona mnatuzumbua,0,0,0,0,0,Customer care complaint,SafaricomCare Ngangat1 Surely safaricom mbona mnatuzumbua,0
"@safaricom I'm trying to get in touch with you as I have an agent matter but,  I do not get an option to speak to one of your agents directly. I've sent you messages even here. Kindly respond asap!",0,0,0,0,0,Customer care complaint,safaricom I am trying to get in touch with you as I have an agent matter but I do not get an option to speak to one of your agents directly I have sent you messages even here Kindly respond asap,0
@Safaricom check DM. Why is your internet so shitty man?,0,0,0,0,0,Internet or airtime bundle complaint,Safaricom check DM Why is your internet so shitty man,3
@SafaricomPLC Aki @Safaricom  nyinyi Hata ka free 1gb ni Ngumu kwenu  this #ramadhaan . Si #tuinuane jamani,0,0,0,0,31,Internet or airtime bundle complaint,SafaricomPLC Aki Safaricom nyinyi Hata ka free 1gb ni Ngumu kwenu this ramadhaan Si tuinuane jamani,3
@ledamalekina @safaricom Sasa unatuliza hapa kwa twitter ndio tufanye nini? You are a senator go ask that question in the senate.,4,0,0,0,0,Neutral,ledamalekina safaricom Sasa unatuliza hapa kwa twitter ndio tufanye nini You are a senator go ask that question in the senate,6
"#SiriNiNumbers 
#occuppystatehouse2025 
@safaricom nursing wrist cramps since morning awaiting orders to press the 'off' button. @C_NyaKundiH",0,0,0,0,120,Neutral,SiriNiNumbers occuppystatehouse2025 safaricom nursing wrist cramps since morning awaiting orders to press the off button CNyaKundiH,6
@alaminkimathi @MUHURIkenya @safaricom Arraigned in court!,0,0,1,0,0,Neutral,alaminkimathi MUHURIkenya safaricom Arraigned in court,6
@omwambaKE @safaricom will steal from you until you won't have to be told to run,0,0,0,0,77,Hate Speech,omwambaKE safaricom will steal from you until you will not have to be told to run,2
"@MOH_Kenya @safaricom   Would you mind explaining this, juu mimi akuna place nimeendea vaccine na hata siitwi Ayan.
@BravinYuri 
@Osama_otero https://t.co/T5snkcE7yC",0,0,0,0,0,Customer care complaint,MOHKenya safaricom Would you mind explaining this juu mimi akuna place nimeendea vaccine na hata siitwi Ayan BravinYuri Osamaotero,0
@safaricom siku hizi mnacharge 5 bob per min call time ????,0,0,0,0,0,Customer care complaint,safaricom siku hizi mnacharge 5 bob per min call time,0
@safaricom ni kama mlisahau kunipea 1 gb data ya birthday jameni ....si kurahisi aki 😭😭,0,0,0,0,9,Internet or airtime bundle complaint,safaricom ni kama mlisahau kunipea 1 gb data ya birthday jameni si kurahisi aki,3
"Kenyans, be very keen when dealing with @Safaricom, reason being they are stealing your airtime in many ways. You top up 50 shillings, they take 1.50 shillings. You pay for parking using mpesa, they take your airtime. Be warned",0,0,0,0,0,MPESA complaint,Kenyans be very keen when dealing with Safaricom reason being they are stealing your airtime in many ways You top up 50 shillings they take 150 shillings You pay for parking using mpesa they take your airtime Be warned,4
@NelsonHavi @SafaricomPLC Mkuu hako na sisi @safaricom tukutane pale high court 😂,0,0,0,0,0,Neutral,NelsonHavi SafaricomPLC Mkuu hako na sisi safaricom tukutane pale high court,6
"@inaxusein @Asmali77 @safaricom @DavidNdii @MPyusufhassan @kanhema It might not be @SafaricomPLC's fault. I have noted of late whenever you pay via mpesa at these places, they immediately send you a thank you message then start bombarding you with messages afterwards. Pay cash or swipe to avoid this",4,1,0,0,0,MPESA complaint,inaxusein Asmali77 safaricom DavidNdii MPyusufhassan kanhema It might not be SafaricomPLCs fault I have noted of late whenever you pay via mpesa at these places they immediately send you a thank you message then start bombarding you with messages afterwards Pay cash or swipe to avoid this,4
@SafaricomPLC I love you @Safaricom PLC can you share yours,0,0,1,0,0,Neutral,SafaricomPLC I love you Safaricom PLC can you share yours,6
"@vickyford @Hailugebreslas3 @safaricom @vodafone @BritishIntInv @UKinEthiopia How can you think you can invest, in country that is trying to kill 6 million people and do business peacefully? When there is injustice and genocide, then there won't be any peace to benefit from your investment. I guess you are too greedy to see this fact.",0,0,0,0,0,Hate Speech,vickyford Hailugebreslas3 safaricom vodafone BritishIntInv UKinEthiopia How can you think you can invest in country that is trying to kill 6 million people and do business peacefully When there is injustice and genocide then there will not be any peace to benefit from your investment I guess you are too greedy to see this fact,2
"@MukamiWaEmbu 😂😂😂😂😂

Several Hot seats for waititu to choose from:

1.  Retain the Governor seat 💺 at Bomet, 

Or

2.  Becoming @Safaricom CEO 

He is a Man of Good lucks! 
      Wish Him well.",1,0,0,0,0,Neutral,MukamiWaEmbu Several Hot seats for waititu to choose from 1 Retain the Governor seat at Bomet Or 2 Becoming Safaricom CEO He is a Man of Good lucks Wish Him well,6
"@Safaricom_Care I have a problem with the post pay packages have have tried to unsubscribe but it's not going through...kindly safaricom help me stop this service.
@safaricom postpay
#safaricomservices",0,0,1,0,0,Customer care complaint,SafaricomCare I have a problem with the post pay packages have have tried to unsubscribe but it is not going throughkindly safaricom help me stop this service safaricom postpay safaricomservices,0
...@safaricom cos of exorbitant charges...,0,0,0,0,0,Customer care complaint,safaricom cos of exorbitant charges,0
"@tek_kenya @Environment_Ke @NemaKenya @UNEP @netfund @WWF @Greenpeace @kfs @kws @kwta @Fibanda1 @safaricom @OptivenFoundatn @spheelmodels @DrAlfredMutua @MachakosC 1. Climate Change
2.Climate Change
3.Climate change...and lastly Climate change",2,1,1,0,0,Neutral,tekkenya EnvironmentKe NemaKenya UNEP netfund WWF Greenpeace kfs kws kwta Fibanda1 safaricom OptivenFoundatn spheelmodels DrAlfredMutua MachakosC 1 Climate Change 2Climate Change 3Climate changeand lastly Climate change,6
@carltonkitheka1 @SAFARICOM are scammers or have scammers running the system?,0,0,0,0,16,Hate Speech,carltonkitheka1 SAFARICOM are scammers or have scammers running the system,2
@Safaricom_Care @ZondaKay @safaricom  stop stealing  from  people bundles  za 1k  u can not use more than  4days,0,0,1,0,18,Internet or airtime bundle complaint,SafaricomCare ZondaKay safaricom stop stealing from people bundles za 1k u can not use more than 4days,3
"Jana, did @safaricom give flowers to its DEAR customers?",1,0,0,0,0,Neutral,Jana did safaricom give flowers to its DEAR customers,6
@Kim02894853 @K24Tv @Safaricomplc_ @safaricom Bro hujaambiwa upeane lineup😂,0,0,0,0,48,Neutral,Kim02894853 K24Tv Safaricomplc safaricom Bro hujaambiwa upeane lineup,6
@ledamalekina @safaricom Na mbona unatokanga nje Akili inakumbuka kuna kitu umesahau na ukirudi kuichukua  inasahau kukumbuka chenye umekujia🤣,1,0,0,0,0,Neutral,ledamalekina safaricom Na mbona unatokanga nje Akili inakumbuka kuna kitu umesahau na ukirudi kuichukua inasahau kukumbuka chenye umekujia,6
"Sim cards are registered upon purchase.@Safaricom &amp; @Airtel should be sued for any sim cards that are already sold without registration. The ongoing mass registration of sim cards is unconstitutional,lacks merit and should have involved civil education. Who is accountable?",0,0,0,0,0,Data protection and privacy concern,Sim cards are registered upon purchaseSafaricom amp Airtel should be sued for any sim cards that are already sold without registration The ongoing mass registration of sim cards is unconstitutionallacks merit and should have involved civil education Who is accountable,1
"On 25/03/2022 at 3:31 P.M, I erroneously sent ksh. 2730 to a wrong number. @Safaricom only reversed ksh. 152 and insisted that the other amount had already been 'used'. They added that their system only reverses once. Technology at its best! @Safaricom_Care ,  @SafaricomPLC",0,1,0,0,0,MPESA complaint,On 25032022 at 331 PM I erroneously sent ksh 2730 to a wrong number Safaricom only reversed ksh 152 and insisted that the other amount had already been used They added that their system only reverses once Technology at its best SafaricomCare SafaricomPLC,4
@oduonatallie @ZukuOfficial @safaricom Liquid telecom,0,0,0,0,0,Neutral,oduonatallie ZukuOfficial safaricom Liquid telecom,6
@Safaricom_Care @Safaricom is a SCAM,0,0,0,0,0,Hate Speech,SafaricomCare Safaricom is a SCAM,2
"@Safaricom_Care Hi there @Safaricom, does it mean that the owner of a till number is being charged when a customer sends money to the account?",0,0,0,0,16,MPESA complaint,SafaricomCare Hi there Safaricom does it mean that the owner of a till number is being charged when a customer sends money to the account,4
@HonKangata Need Money for @starlink. Kwani me ndo bado niko @safaricom maze.,1,0,0,0,46,Neutral,HonKangata Need Money for starlink Kwani me ndo bado niko safaricom maze,6
@safaricom mmeniamlia sitanunua data za @airtel kwa Amani kupitia mpesa. Mbona mnareverse transactions?,0,0,0,0,24,MPESA complaint,safaricom mmeniamlia sitanunua data za airtel kwa Amani kupitia mpesa Mbona mnareverse transactions,4
@DjFlaxx @SafaricomPLC @safaricom 😂😂😂 Watajibu asubuhi. Kama imeshaisha...,0,0,1,0,0,Neutral,DjFlaxx SafaricomPLC safaricom Watajibu asubuhi Kama imeshaisha,6
@wangecike_ wakizima @Safaricom will be answerable,0,0,0,0,8,Neutral,wangecike wakizima Safaricom will be answerable,6
"@safaricom all my lines are 4G,why shift my lines networks into 3G.

Soon starlink will take control of everything to reduce the monopoly.",0,0,0,0,22,Network reliability problem,safaricom all my lines are 4Gwhy shift my lines networks into 3G Soon starlink will take control of everything to reduce the monopoly,5
@30005k @safaricom @safaricom I am a cross discipline engineer with experience at global brands 🤣🙏🏿,0,0,0,0,48,Neutral,3005k safaricom safaricom I am a cross discipline engineer with experience at global brands,6
"@StandardKenya @safaricom😂
starlink,the better option",0,0,0,0,124,Neutral,StandardKenya safaricom starlinkthe better option,6
"@baDnewSanalysT @KBonimtetezi @AMLiveNTV @debarlinea @safaricom @Mheshimiwa Boni , You are a Doctor . I suppose trained by the Govt. The answers we constantly get from you are not related to Health. It’s about Tangatanga. Church donations . Political ambitions . BullFights. Would love to relate so much to your evidence uplifting Health &amp; Docs",0,0,0,0,0,Neutral,baDnewSanalysT KBonimtetezi AMLiveNTV debarlinea safaricom Mheshimiwa Boni You are a Doctor I suppose trained by the Govt The answers we constantly get from you are not related to Health Its about Tangatanga Church donations Political ambitions BullFights Would love to relate so much to your evidence uplifting Health amp Docs,6
"@safaricom, 2 months of poor network in Lodwar Turkana!? What is happening? It has never been like this for 5 years!",0,0,0,0,29,Network reliability problem,safaricom 2 months of poor network in Lodwar Turkana What is happening It has never been like this for 5 years,5
"Coming soon in #TheLandOfOpportunities.
Construction of a state-of-the-art maternity wing at Kianjokoma Health Facility worth Ksh 50,000,000.(50M) in partnership with the @Safaricom Foundation. #KavindaNiGaka. https://t.co/QFqbOTm14A",0,0,0,0,45,Neutral,Coming soon in TheLandOfOpportunities Construction of a stateoftheart maternity wing at Kianjokoma Health Facility worth Ksh 50050M in partnership with the Safaricom Foundation KavindaNiGaka,6
@AtwoliiYa We shall revisit @safaricom,0,0,0,0,4,Neutral,AtwoliiYa We shall revisit safaricom,6
@Bahda_254 @jackwereW 😂😂😂😂@Safaricom Ni scam buda,1,0,0,0,0,MPESA complaint,Bahda254 jackwereW Safaricom Ni scam buda,4
What safaricom  @safaricom is doing to its customers is very unfair...,3,0,0,0,91,Customer care complaint,What safaricom safaricom is doing to its customers is very unfair,0
"@oremforever @safaricom I intended to mean in in this manner ....that message you get from your bae saying ""we need to talk""",1,0,1,0,0,Neutral,oremforever safaricom I intended to mean in in this manner that message you get from your bae saying we need to talk,6
"Registered for the hustler fund on the first day and up to now I haven't received any msg as I had been told to wait for.
Could there be a clandestine selection process going on behind the scenes? Is it the reason Mpesa PIN was being sought for. @safaricom are you selling info?",0,0,0,0,0,Data protection and privacy concern,Registered for the hustler fund on the first day and up to now I have not received any msg as I had been told to wait for Could there be a clandestine selection process going on behind the scenes Is it the reason Mpesa PIN was being sought for safaricom are you selling info,1
Time to have @safaricom advert songs on my playlist.zinaslap different https://t.co/nL1O6faYgy,0,0,0,0,0,Neutral,Time to have safaricom advert songs on my playlistzinaslap different,6
Thanks to the sudden need to re-register sims by @safaricom and @CA_Kenya a wave of scams have taken place with many having their phones and M-PESA hacked. In many cases it seems Safaricom employees are involved. Have you been affected?,11,6,2,0,0,Data protection and privacy concern,Thanks to the sudden need to reregister sims by safaricom and CAKenya a wave of scams have taken place with many having their phones and MPESA hacked In many cases it seems Safaricom employees are involved Have you been affected,1
"@brightstar115 @safaricom @AKenyanGirl @Ma3Route @GhettoRadio895 @Radio47KE @CapitalFMKenya @KenyanTraffic @YuriBaraza @PhilipOgola Jameni people are paying school fees ,transport na mpesa what's happening safaricom",0,0,0,0,145,MPESA complaint,brightstar115 safaricom AKenyanGirl Ma3Route GhettoRadio895 Radio47KE CapitalFMKenya KenyanTraffic YuriBaraza PhilipOgola Jameni people are paying school fees transport na mpesa what is happening safaricom,4
