Content,Likes,Retweets,Replies,Quotes,Views,Date,Labels,chars,words,sentences,Tokenized Text,Lematized Text,processed_text
50m connected isnt just a stat its a symbol of how safaricom has scaled digital inclusion and access to opportunity across kenya from cities to villages from youth to elders customer growth,0,2,1,0,12,"July 24, 2025 at 08:10 AM",Neutral,221,44,4,"['50m', 'connected', 'isnt', 'just', 'a', 'stat', 'its', 'a', 'symbol', 'of', 'how', 'safaricom', 'has', 'scaled', 'digital', 'inclusion', 'and', 'access', 'to', 'opportunity', 'across', 'kenya', 'from', 'cities', 'to', 'villages', 'from', 'youth', 'to', 'elders', 'customer', 'growth']","['50m', 'connected', 'isnt', 'just', 'a', 'stat', 'it', 'a', 'symbol', 'of', 'how', 'safaricom', 'ha', 'scaled', 'digital', 'inclusion', 'and', 'access', 'to', 'opportunity', 'across', 'kenya', 'from', 'city', 'to', 'village', 'from', 'youth', 'to', 'elder', 'customer', 'growth']",50m connected isnt just a stat it a symbol of how safaricom ha scaled digital inclusion and access to opportunity across kenya from city to village from youth to elder customer growth
from just 17000 subscribers in 2000 to 50m connected in 2025 safaricom customer growth tells the story of kenyas digital transformation its not just telecom its a national movement,0,2,0,0,25,"July 24, 2025 at 08:03 AM",Neutral,212,42,4,"['from', 'just', '17000', 'subscribers', 'in', '2000', 'to', '50m', 'connected', 'in', '2025', 'safaricom', 'customer', 'growth', 'tells', 'the', 'story', 'of', 'kenyas', 'digital', 'transformation', 'its', 'not', 'just', 'telecom', 'its', 'a', 'national', 'movement']","['from', 'just', '17000', 'subscriber', 'in', '2000', 'to', '50m', 'connected', 'in', '2025', 'safaricom', 'customer', 'growth', 'tell', 'the', 'story', 'of', 'kenya', 'digital', 'transformation', 'it', 'not', 'just', 'telecom', 'it', 'a', 'national', 'movement']",from just 17000 subscriber in 2000 to 50m connected in 2025 safaricom customer growth tell the story of kenya digital transformation it not just telecom it a national movement
customer growth safaricom has done it 50m connected on its mobile network in kenya as we gear up for safaricom 25 this milestone shows just how deeply the brand is woven into the fabric of kenyan,0,4,0,0,36,"July 24, 2025 at 07:59 AM",Neutral,226,46,3,"['customer', 'growth', 'safaricom', 'has', 'done', 'it', '50m', 'connected', 'on', 'its', 'mobile', 'network', 'in', 'kenya', 'as', 'we', 'gear', 'up', 'for', 'safaricom', '25', 'this', 'milestone', 'shows', 'just', 'how', 'deeply', 'the', 'brand', 'is', 'woven', 'into', 'the', 'fabric', 'of', 'kenyan']","['customer', 'growth', 'safaricom', 'ha', 'done', 'it', '50m', 'connected', 'on', 'it', 'mobile', 'network', 'in', 'kenya', 'a', 'we', 'gear', 'up', 'for', 'safaricom', '25', 'this', 'milestone', 'show', 'just', 'how', 'deeply', 'the', 'brand', 'is', 'woven', 'into', 'the', 'fabric', 'of', 'kenyan']",customer growth safaricom ha done it 50m connected on it mobile network in kenya a we gear up for safaricom 25 this milestone show just how deeply the brand is woven into the fabric of kenyan
safaricom have changed their for you to 50m customers hawana kazi kwanza that for you is cringe,1,0,0,0,57,"July 23, 2025 at 04:32 PM",Neutral,101,22,3,"['safaricom', 'have', 'changed', 'their', 'for', 'you', 'to', '50m', 'customers', 'hawana', 'kazi', 'kwanza', 'that', 'for', 'you', 'is', 'cringe']","['safaricom', 'have', 'changed', 'their', 'for', 'you', 'to', '50m', 'customer', 'hawana', 'kazi', 'kwanza', 'that', 'for', 'you', 'is', 'cringe']",safaricom have changed their for you to 50m customer hawana kazi kwanza that for you is cringe
dcikenya hii ni jaba how can i whats app dci nikue anonymus na safaricom inawapea mwakenya kunieka maftani mnatupima akili there is no safeguard for whistle blowers here its all traps,2,0,0,0,476,"July 23, 2025 at 02:51 PM",Data protection and privacy concern,191,37,3,"['dcikenya', 'hii', 'ni', 'jaba', 'how', 'can', 'i', 'whats', 'app', 'dci', 'nikue', 'anonymus', 'na', 'safaricom', 'inawapea', 'mwakenya', 'kunieka', 'maftani', 'mnatupima', 'akili', 'there', 'is', 'no', 'safeguard', 'for', 'whistle', 'blowers', 'here', 'its', 'all', 'traps']","['dcikenya', 'hii', 'ni', 'jaba', 'how', 'can', 'i', 'whats', 'app', 'dci', 'nikue', 'anonymus', 'na', 'safaricom', 'inawapea', 'mwakenya', 'kunieka', 'maftani', 'mnatupima', 'akili', 'there', 'is', 'no', 'safeguard', 'for', 'whistle', 'blower', 'here', 'it', 'all', 'trap']",dcikenya hii ni jaba how can i whats app dci nikue anonymus na safaricom inawapea mwakenya kunieka maftani mnatupima akili there is no safeguard for whistle blower here it all trap
safaricomcare why there is network problem in mombasa,0,0,0,0,25,"July 23, 2025 at 08:21 AM",Network reliability problem,56,10,1,"['safaricomcare', 'why', 'there', 'is', 'network', 'problem', 'in', 'mombasa']","['safaricomcare', 'why', 'there', 'is', 'network', 'problem', 'in', 'mombasa']",safaricomcare why there is network problem in mombasa
safaricom no network coverage in kwale town,0,0,0,0,14,"July 23, 2025 at 08:20 AM",Network reliability problem,45,9,1,"['safaricom', 'no', 'network', 'coverage', 'in', 'kwale', 'town']","['safaricom', 'no', 'network', 'coverage', 'in', 'kwale', 'town']",safaricom no network coverage in kwale town
safaricomcare safaricom care i have highlighted my case in your dmkindly respond,0,0,0,0,14,"July 22, 2025 at 04:21 PM",Customer care complaint,85,15,2,"['safaricomcare', 'safaricom', 'care', 'i', 'have', 'highlighted', 'my', 'case', 'in', 'your', 'dmkindly', 'respond']","['safaricomcare', 'safaricom', 'care', 'i', 'have', 'highlighted', 'my', 'case', 'in', 'your', 'dmkindly', 'respond']",safaricomcare safaricom care i have highlighted my case in your dmkindly respond
safaricomcare safaricom carewhy am i not receiving my money send from usa two hours later,1,0,0,0,19,"July 22, 2025 at 04:18 PM",MPESA complaint,118,23,2,"['safaricomcare', 'safaricom', 'carewhy', 'am', 'i', 'not', 'receiving', 'my', 'money', 'send', 'from', 'usa', 'two', 'hours', 'later']","['safaricomcare', 'safaricom', 'carewhy', 'am', 'i', 'not', 'receiving', 'my', 'money', 'send', 'from', 'usa', 'two', 'hour', 'later']",safaricomcare safaricom carewhy am i not receiving my money send from usa two hour later
my safaricom network is misbehaving,0,0,0,0,66,"July 22, 2025 at 02:17 PM",Network reliability problem,36,6,1,"['my', 'safaricom', 'network', 'is', 'misbehaving']","['my', 'safaricom', 'network', 'is', 'misbehaving']",my safaricom network is misbehaving
a good reason to migrate from safaricom to other networks how can one fail to make a call with this number of minutes safaricomplc safaricomcare,0,0,0,0,15,"July 22, 2025 at 04:37 AM",Network reliability problem,176,33,3,"['a', 'good', 'reason', 'to', 'migrate', 'from', 'safaricom', 'to', 'other', 'networks', 'how', 'can', 'one', 'fail', 'to', 'make', 'a', 'call', 'with', 'this', 'number', 'of', 'minutes', 'safaricomplc', 'safaricomcare']","['a', 'good', 'reason', 'to', 'migrate', 'from', 'safaricom', 'to', 'other', 'network', 'how', 'can', 'one', 'fail', 'to', 'make', 'a', 'call', 'with', 'this', 'number', 'of', 'minute', 'safaricomplc', 'safaricomcare']",a good reason to migrate from safaricom to other network how can one fail to make a call with this number of minute safaricomplc safaricomcare
gathogobmwangi safaricom mpesa its time to review these changes as they have become so high to common people transacting in small amounts,2,0,0,0,267,"July 21, 2025 at 05:12 PM",MPESA complaint,142,27,1,"['gathogobmwangi', 'safaricom', 'mpesa', 'its', 'time', 'to', 'review', 'these', 'changes', 'as', 'they', 'have', 'become', 'so', 'high', 'to', 'common', 'people', 'transacting', 'in', 'small', 'amounts']","['gathogobmwangi', 'safaricom', 'mpesa', 'it', 'time', 'to', 'review', 'these', 'change', 'a', 'they', 'have', 'become', 'so', 'high', 'to', 'common', 'people', 'transacting', 'in', 'small', 'amount']",gathogobmwangi safaricom mpesa it time to review these change a they have become so high to common people transacting in small amount
safaricom rudisheni hii na mnipee bundles sasa sms nazifanyia nini,1,0,0,0,16,"July 21, 2025 at 04:31 PM",Internet or airtime bundle complaint,92,14,1,"['safaricom', 'rudisheni', 'hii', 'na', 'mnipee', 'bundles', 'sasa', 'sms', 'nazifanyia', 'nini']","['safaricom', 'rudisheni', 'hii', 'na', 'mnipee', 'bundle', 'sasa', 'sm', 'nazifanyia', 'nini']",safaricom rudisheni hii na mnipee bundle sasa sm nazifanyia nini
just like safaricom,1,0,0,0,22,"July 21, 2025 at 12:53 PM",Neutral,20,4,1,"['just', 'like', 'safaricom']","['just', 'like', 'safaricom']",just like safaricom
oyaah safaricom data ya youtube mnanipea ya nini kama nitaingia youtube mtumie hio data ingine kumbaff,0,0,0,0,12,"July 20, 2025 at 05:25 AM",Internet or airtime bundle complaint,104,18,2,"['oyaah', 'safaricom', 'data', 'ya', 'youtube', 'mnanipea', 'ya', 'nini', 'kama', 'nitaingia', 'youtube', 'mtumie', 'hio', 'data', 'ingine', 'kumbaff']","['oyaah', 'safaricom', 'data', 'ya', 'youtube', 'mnanipea', 'ya', 'nini', 'kama', 'nitaingia', 'youtube', 'mtumie', 'hio', 'data', 'ingine', 'kumbaff']",oyaah safaricom data ya youtube mnanipea ya nini kama nitaingia youtube mtumie hio data ingine kumbaff
kudos to our arc member bantubytes for sharing insights on automating repetitive tasks with rails rubyafrican safaricom rubyconfafrica rubyconfafrica2025 africanruby nairuby rubycommunity,15,6,2,0,630,"July 18, 2025 at 08:54 AM",Neutral,226,35,2,"['kudos', 'to', 'our', 'arc', 'member', 'bantubytes', 'for', 'sharing', 'insights', 'on', 'automating', 'repetitive', 'tasks', 'with', 'rails', 'rubyafrican', 'safaricom', 'rubyconfafrica', 'rubyconfafrica2025', 'africanruby', 'nairuby', 'rubycommunity']","['kudos', 'to', 'our', 'arc', 'member', 'bantubytes', 'for', 'sharing', 'insight', 'on', 'automating', 'repetitive', 'task', 'with', 'rail', 'rubyafrican', 'safaricom', 'rubyconfafrica', 'rubyconfafrica2025', 'africanruby', 'nairuby', 'rubycommunity']",kudos to our arc member bantubytes for sharing insight on automating repetitive task with rail rubyafrican safaricom rubyconfafrica rubyconfafrica2025 africanruby nairuby rubycommunity
kellybae abnke safaricom safaricomplc kes 100000 is roughly 769 usd at current exchange rates safaricoms gesture to help small businesses is awesome,0,0,0,0,23,"July 16, 2025 at 07:27 PM",Neutral,160,30,2,"['kellybae', 'abnke', 'safaricom', 'safaricomplc', 'kes', '100000', 'is', 'roughly', '769', 'usd', 'at', 'current', 'exchange', 'rates', 'safaricoms', 'gesture', 'to', 'help', 'small', 'businesses', 'is', 'awesome']","['kellybae', 'abnke', 'safaricom', 'safaricomplc', 'kes', '100000', 'is', 'roughly', '769', 'usd', 'at', 'current', 'exchange', 'rate', 'safaricoms', 'gesture', 'to', 'help', 'small', 'business', 'is', 'awesome']",kellybae abnke safaricom safaricomplc kes 100000 is roughly 769 usd at current exchange rate safaricoms gesture to help small business is awesome
what else after genz s demos as part of its continued commitment to stand with small businesses during challenging times safaricom has donated kes 100000 to bemotec communications ltd a mobile devices vendor in eldoret to help the business recover from losses suffered during the recent demonstrations,4,2,1,1,463,"July 16, 2025 at 05:32 PM",Neutral,313,53,2,"['what', 'else', 'after', 'genz', 's', 'demos', 'as', 'part', 'of', 'its', 'continued', 'commitment', 'to', 'stand', 'with', 'small', 'businesses', 'during', 'challenging', 'times', 'safaricom', 'has', 'donated', 'kes', '100000', 'to', 'bemotec', 'communications', 'ltd', 'a', 'mobile', 'devices', 'vendor', 'in', 'eldoret', 'to', 'help', 'the', 'business', 'recover', 'from', 'losses', 'suffered', 'during', 'the', 'recent', 'demonstrations']","['what', 'else', 'after', 'genz', 's', 'demo', 'a', 'part', 'of', 'it', 'continued', 'commitment', 'to', 'stand', 'with', 'small', 'business', 'during', 'challenging', 'time', 'safaricom', 'ha', 'donated', 'kes', '100000', 'to', 'bemotec', 'communication', 'ltd', 'a', 'mobile', 'device', 'vendor', 'in', 'eldoret', 'to', 'help', 'the', 'business', 'recover', 'from', 'loss', 'suffered', 'during', 'the', 'recent', 'demonstration']",what else after genz s demo a part of it continued commitment to stand with small business during challenging time safaricom ha donated kes 100000 to bemotec communication ltd a mobile device vendor in eldoret to help the business recover from loss suffered during the recent demonstration
safaricomplc safaricom safaricoms scale is phenomenal 4824m mobile users 678k fixed subs billions in voicesms traffic monthly the engine powering kenyas digital economy,1,1,0,0,556,"July 16, 2025 at 12:12 PM",Neutral,185,33,3,"['safaricomplc', 'safaricom', 'safaricoms', 'scale', 'is', 'phenomenal', '4824m', 'mobile', 'users', '678k', 'fixed', 'subs', 'billions', 'in', 'voicesms', 'traffic', 'monthly', 'the', 'engine', 'powering', 'kenyas', 'digital', 'economy']","['safaricomplc', 'safaricom', 'safaricoms', 'scale', 'is', 'phenomenal', '4824m', 'mobile', 'user', '678k', 'fixed', 'sub', 'billion', 'in', 'voicesms', 'traffic', 'monthly', 'the', 'engine', 'powering', 'kenya', 'digital', 'economy']",safaricomplc safaricom safaricoms scale is phenomenal 4824m mobile user 678k fixed sub billion in voicesms traffic monthly the engine powering kenya digital economy
safaricomplc safaricom safaricom processed a colossal 127 billion sms messages in q1 2025driving communication amp value for millions daily essential connectivity at its best,0,1,1,0,605,"July 16, 2025 at 12:11 PM",Neutral,181,29,2,"['safaricomplc', 'safaricom', 'safaricom', 'processed', 'a', 'colossal', '127', 'billion', 'sms', 'messages', 'in', 'q1', '2025driving', 'communication', 'amp', 'value', 'for', 'millions', 'daily', 'essential', 'connectivity', 'at', 'its', 'best']","['safaricomplc', 'safaricom', 'safaricom', 'processed', 'a', 'colossal', '127', 'billion', 'sm', 'message', 'in', 'q1', '2025driving', 'communication', 'amp', 'value', 'for', 'million', 'daily', 'essential', 'connectivity', 'at', 'it', 'best']",safaricomplc safaricom safaricom processed a colossal 127 billion sm message in q1 2025driving communication amp value for million daily essential connectivity at it best
safaricomplc safaricom safaricom isnt just mobile they are kenyas fixed internet leader with 365 market share 678k subs expanding horizons amp powering homesbusinesses,0,0,1,0,148,"July 16, 2025 at 12:11 PM",Neutral,184,36,4,"['safaricomplc', 'safaricom', 'safaricom', 'isnt', 'just', 'mobile', 'they', 'are', 'kenyas', 'fixed', 'internet', 'leader', 'with', '365', 'market', 'share', '678k', 'subs', 'expanding', 'horizons', 'amp', 'powering', 'homesbusinesses']","['safaricomplc', 'safaricom', 'safaricom', 'isnt', 'just', 'mobile', 'they', 'are', 'kenya', 'fixed', 'internet', 'leader', 'with', '365', 'market', 'share', '678k', 'sub', 'expanding', 'horizon', 'amp', 'powering', 'homesbusinesses']",safaricomplc safaricom safaricom isnt just mobile they are kenya fixed internet leader with 365 market share 678k sub expanding horizon amp powering homesbusinesses
safaricomplc it is without a doubt that safaricom users love their network 1688 billion onnet voice minutes janmar 2025 show incredible customer stickiness amp satisfaction thats the safaricom advantage,0,1,1,0,161,"July 16, 2025 at 12:10 PM",Neutral,239,42,3,"['safaricomplc', 'it', 'is', 'without', 'a', 'doubt', 'that', 'safaricom', 'users', 'love', 'their', 'network', '1688', 'billion', 'onnet', 'voice', 'minutes', 'janmar', '2025', 'show', 'incredible', 'customer', 'stickiness', 'amp', 'satisfaction', 'thats', 'the', 'safaricom', 'advantage']","['safaricomplc', 'it', 'is', 'without', 'a', 'doubt', 'that', 'safaricom', 'user', 'love', 'their', 'network', '1688', 'billion', 'onnet', 'voice', 'minute', 'janmar', '2025', 'show', 'incredible', 'customer', 'stickiness', 'amp', 'satisfaction', 'thats', 'the', 'safaricom', 'advantage']",safaricomplc it is without a doubt that safaricom user love their network 1688 billion onnet voice minute janmar 2025 show incredible customer stickiness amp satisfaction thats the safaricom advantage
safaricom transaction fees and withdrawal fees are high kwani ni network ya ethereum mnatumia,0,0,0,0,10,"July 16, 2025 at 11:16 AM",MPESA complaint,97,17,2,"['safaricom', 'transaction', 'fees', 'and', 'withdrawal', 'fees', 'are', 'high', 'kwani', 'ni', 'network', 'ya', 'ethereum', 'mnatumia']","['safaricom', 'transaction', 'fee', 'and', 'withdrawal', 'fee', 'are', 'high', 'kwani', 'ni', 'network', 'ya', 'ethereum', 'mnatumia']",safaricom transaction fee and withdrawal fee are high kwani ni network ya ethereum mnatumia
impacting lives and celebrating each and every customer safaricom has impacted over 49m lives hapa ni kachibora,6,6,0,0,361,"July 16, 2025 at 08:08 AM",Neutral,147,26,4,"['impacting', 'lives', 'and', 'celebrating', 'each', 'and', 'every', 'customer', 'safaricom', 'has', 'impacted', 'over', '49m', 'lives', 'hapa', 'ni', 'kachibora']","['impacting', 'life', 'and', 'celebrating', 'each', 'and', 'every', 'customer', 'safaricom', 'ha', 'impacted', 'over', '49m', 'life', 'hapa', 'ni', 'kachibora']",impacting life and celebrating each and every customer safaricom ha impacted over 49m life hapa ni kachibora
girumxo safaricom were working on rolling out more products and services tailored to our customers needs however currently we offer only 10 mbps for 1199 birr and 20 mbps for 2199 birr we encourage you to stay tuned to our social media pages for future updates and new offerings sn,0,0,0,0,44,"July 16, 2025 at 04:43 AM",Neutral,293,60,4,"['girumxo', 'safaricom', 'were', 'working', 'on', 'rolling', 'out', 'more', 'products', 'and', 'services', 'tailored', 'to', 'our', 'customers', 'needs', 'however', 'currently', 'we', 'offer', 'only', '10', 'mbps', 'for', '1199', 'birr', 'and', '20', 'mbps', 'for', '2199', 'birr', 'we', 'encourage', 'you', 'to', 'stay', 'tuned', 'to', 'our', 'social', 'media', 'pages', 'for', 'future', 'updates', 'and', 'new', 'offerings', 'sn']","['girumxo', 'safaricom', 'were', 'working', 'on', 'rolling', 'out', 'more', 'product', 'and', 'service', 'tailored', 'to', 'our', 'customer', 'need', 'however', 'currently', 'we', 'offer', 'only', '10', 'mbps', 'for', '1199', 'birr', 'and', '20', 'mbps', 'for', '2199', 'birr', 'we', 'encourage', 'you', 'to', 'stay', 'tuned', 'to', 'our', 'social', 'medium', 'page', 'for', 'future', 'update', 'and', 'new', 'offering', 'sn']",girumxo safaricom were working on rolling out more product and service tailored to our customer need however currently we offer only 10 mbps for 1199 birr and 20 mbps for 2199 birr we encourage you to stay tuned to our social medium page for future update and new offering sn
safaricom you are a scam,0,0,0,0,27,"July 15, 2025 at 08:57 PM",Customer care complaint,49,9,1,"['safaricom', 'you', 'are', 'a', 'scam']","['safaricom', 'you', 'are', 'a', 'scam']",safaricom you are a scam
lawrencekitema watu wa rift valley msikose hii opportunity free workshops sme support na raha ya customer appreciation safaricom iko kwa ground sifire connect mpesasokoni,0,0,0,0,11,"July 15, 2025 at 08:30 AM",Neutral,181,34,4,"['lawrencekitema', 'watu', 'wa', 'rift', 'valley', 'msikose', 'hii', 'opportunity', 'free', 'workshops', 'sme', 'support', 'na', 'raha', 'ya', 'customer', 'appreciation', 'safaricom', 'iko', 'kwa', 'ground', 'sifire', 'connect', 'mpesasokoni']","['lawrencekitema', 'watu', 'wa', 'rift', 'valley', 'msikose', 'hii', 'opportunity', 'free', 'workshop', 'sme', 'support', 'na', 'raha', 'ya', 'customer', 'appreciation', 'safaricom', 'iko', 'kwa', 'ground', 'sifire', 'connect', 'mpesasokoni']",lawrencekitema watu wa rift valley msikose hii opportunity free workshop sme support na raha ya customer appreciation safaricom iko kwa ground sifire connect mpesasokoni
