Content,Cleaned_Text
@_himselfu @Safaricom maumbwa sana😂,maumbwa sana
@moneyacademyKE Fuliza? @grok @safaricom,Fuliza?
"@Safaricom_Care @safaricom care, i have always been buying bundles and never use what's  the excuse. What's not happening????",care i have always been buying bundles and never use what is the excuse Whats not happening?
@Safaricom_Care It has been 5 hours since I made a follow up and no one is on site to sort my internet. Is this how @safaricom has sunk in service delivery?,It has been hours since I made a follow up and no one is on site to sort my internet Is this how has sunk in service delivery?
@safaricom can you not find a ussd to stop this messages https://t.co/Z36TKPgNif,can you not find a ussd to stop this messages
Ukiuliza mtu wa @Safaricom credit yangu nimeeka sahi imeenda wapi 😂😂😂😂😂😂 https://t.co/3Nyyha8Zlx,Ukiuliza mtu wa credit yangu nimeeka sahi imeenda wapi
@sholard_mancity That's true...am tired of buying monthly bundles that vanish in a day.. @safaricom have you no shame?,Thats trueam tired of buying monthly bundles that vanish in a day have you no shame?
"From cooking chapo by the roadside to opening two thriving branches; here’s how @legacyrestaurant_ke began. 🍽️🔥

@safaricom.business is empowering entrepreneurs with seamless, future-forward solutions that fuel real growth and transformation. 🚀

@DiggerKenya
#ShopDiggeronKTN https://t.co/bZSt6RL6aM",From cooking chapo by the roadside to opening two thriving branches heres how began business is empowering entrepreneurs with seamless futureforward solutions that fuel real growth and transformation ShopDiggeronKTN
"From cooking chapo by the roadside to opening two thriving branches; here’s how @legacyrestaurant_ke began. 🍽️🔥

@safaricom.business is empowering entrepreneurs with seamless, future-forward solutions that fuel real growth and transformation. 🚀

@DiggerKenya
#ShopDiggeronKTN https://t.co/fQvfpu7zmV",From cooking chapo by the roadside to opening two thriving branches heres how began business is empowering entrepreneurs with seamless futureforward solutions that fuel real growth and transformation ShopDiggeronKTN
"From humble beginnings to supplying quality animal feeds across Kenya, this is the story of growth, grit, and innovation.

With support from @safaricom.business, agripreneurs are now accessing seamless digital solutions that power their businesses forward. https://t.co/vS2MY5ygiO",From humble beginnings to supplying quality animal feeds across Kenya this is the story of growth grit and innovation With support from business agripreneurs are now accessing seamless digital solutions that power their businesses forward
"From cooking chapo by the roadside to opening two thriving branches; here’s how @legacyrestaurant_ke began. 🍽️🔥

@safaricom.business is empowering entrepreneurs with seamless, future-forward solutions that fuel real growth and transformation. 🚀

@DiggerKenya
#ShopDiggeronKTN https://t.co/67faqQOOQ7",From cooking chapo by the roadside to opening two thriving branches heres how began business is empowering entrepreneurs with seamless futureforward solutions that fuel real growth and transformation ShopDiggeronKTN
"From cooking chapo by the roadside to opening two thriving branches; here’s how @legacyrestaurant_ke began. 🍽️🔥

@safaricom.business is empowering entrepreneurs with seamless, future-forward solutions that fuel real growth and transformation. 🚀

@DiggerKenya
#ShopDiggeronKTN https://t.co/Pxa0ONpqMq",From cooking chapo by the roadside to opening two thriving branches heres how began business is empowering entrepreneurs with seamless futureforward solutions that fuel real growth and transformation ShopDiggeronKTN
"Happening Now: Powering Kenya’s Marketplace 🛒

@safaricom.business is enabling seamless, future-forward solutions for entrepreneurs and enterprises alike.

Host: @yolandamulwa
@standardcourier
https://t.co/0l9e7BftSi
@DiggerKenya
#ShopDiggeronKTN https://t.co/w1XJT0zHOD",Happening Now Powering Kenyas Marketplace business is enabling seamless futureforward solutions for entrepreneurs and enterprises alike Host ShopDiggeronKTN
"Does @safaricom feel or carry  guit of charging for bundles that never work for say half the time intended like 1GB for an hour working for only 30min, consumption roughly 309 MB but whole amount pocketed",Does feel or carry guit of charging for bundles that never work for say half the time intended like GB for an hour working for only min consumption roughly MB but whole amount pocketed
@_Hybreed_ @safaricom make it happen,make it happen
@_Hybreed_ @Safaricom,
@_Hybreed_ @safaricom,
@_Hybreed_ @safaricom,
@AtwoliiYa Is this what safaricom  meant  when they said  simple honest  and transparent for you 👇🤣@safaricom https://t.co/M5tedTzoxR,Is this what safaricom meant when they said simple honest and transparent for you
@safaricom I just bought data za 1 hr na my data zina behave like you operate in India What's up?,I just bought data za hr na my data zina behave like you operate in India Whats up?
@janetmachuka_ @safaricom automatically subscribes you,automatically subscribes you
"@Safaricom Ethiopia  celebrates a major milestone—10 million active customers in just 4 years! Backed by $2.27B in investment. @Safaricom Telecommunications Ethiopia PLC 

 #DigitalEthiopia #Safaricom #TelecomsNews #DFA2025 

🔗  https://t.co/ferLrOvVfo https://t.co/J6zGNCLQkM",Ethiopia celebrates a major milestone million active customers in just years! Backed by B in investment Telecommunications Ethiopia PLC DigitalEthiopia Safaricom TelecomsNews DFA
".@Safaricom PLC leads the fixed internet market with a 36.5% share, followed by Jamii Telecommunications Ltd (JTL) at 22.5% and Wananchi Group at 14.4%. https://t.co/3inWx2gtLV",PLC leads the fixed internet market with a share followed by Jamii Telecommunications Ltd JTL at and Wananchi Group at
Hi @safaricom did you get a new customer care number 😜🤣🤣🤣 https://t.co/HAOiNhAK9E,Hi did you get a new customer care number
"Hi I've this balance in my account but can't enjoy. What's this restrictions @safaricom 
OFA MOTO Minutes: 140Min (Expiry: 2025-07-02 14:11:44)
My Deal of the Day: 1,717MB (Expiry: 2025-07-02 12:16:15)
Click on https://t.co/8fxGurXdKl to view your data usage",Hi I have this balance in my account but cannot enjoy Whats this restrictions OFA MOTO Minutes Min Expiry My Deal of the Day MB Expiry Click on to view your data usage
"Our very own Faith kipyegon will be attempting to be the first woman to run a mile under 4mins. @Safaricom imekusort na daya, Dial *544*4# to get 4G bundles valid from 7 to 10pm to watch the  action live on Nike's  YouTube channel. @homekny @recreatedd16 #Kenya4Faith si ya kukosa https://t.co/0KtmoGtkXa",Our very own Faith kipyegon will be attempting to be the first woman to run a mile under mins imekusort na daya Dial to get G bundles valid from to pm to watch the action live on Nikes YouTube channel KenyaFaith si ya kukosa
Kwani leo kuna marathon ama @safaricom wanataka kuniibia data,Kwani leo kuna marathon ama wanataka kuniibia data
"Jambo kenya, guess what? Our very own faith kipyego is attempting to be the first woman to run a mile under 4mins. @Safaricom imekusort. Dial *544*4# to get 4G bundles valid from 7pm to 10pmto watch the  action live on Nike's  YouTube channel #Kenya4Faith si ya kukosa 🔥 https://t.co/TK3wdAnYkw",Jambo kenya guess what? Our very own faith kipyego is attempting to be the first woman to run a mile under mins imekusort Dial to get G bundles valid from pm to pmto watch the action live on Nikes YouTube channel KenyaFaith si ya kukosa
@safaricom what up with your internet connection https://t.co/hgXu2iMYF9,what up with your internet connection
"@jimNjue_ Sad 😔 enough is that I had a crushie there @safaricom sijui nitampata vipi 
Bye bye 👋 crushie",Sad enough is that I had a crushie there sijui nitampata vipi Bye bye crushie
Nikama @safaricom wameachilia zile dolphins zao,Nikama wameachilia zile dolphins zao
Traitor @safaricom hawa after hizi protest tuachane na wao #SiriNiNumbers,Traitor hawa after hizi protest tuachane na wao SiriNiNumbers
"#SiriNiNumbers 
#occuppystatehouse2025 
@safaricom nursing wrist cramps since morning awaiting orders to press the 'off' button. @C_NyaKundiH",SiriNiNumbers occuppystatehouse nursing wrist cramps since morning awaiting orders to press the off button
@safaricom mbwa,mbwa
"@C_NyaKundiH @safaricom, Anyone struggling with the internet? Home fibre is struggling here.",Anyone struggling with the internet? Home fibre is struggling here
@safaricom your network is bullshitin',your network is bullshitin
"@mtuya0 @MikeSonko These Conmen have specific guy at @Safaricom  who register sim cards for them,",These Conmen have specific guy at who register sim cards for them
@safaricom waiting to blame under sea cables after a call is made. https://t.co/LvTR4Kk3fN,waiting to blame under sea cables after a call is made
@safaricom mbona mnabana wifi. Mbora tuhame airtel sasa #keshonikesho,mbona mnabana wifi Mbora tuhame airtel sasa keshonikesho
"Faith Kipyegon ako rada tena! 🔥 Anaeyea kuvunja 4-minute mile — si mchezo! Already ameshika world records, sasa ni time ya kufanya history.

Wakenya, tusimame na yeye! Tumshow support hadi kwa finish line! 🇰🇪

#Kenya4Faith
@Safaricom https://t.co/XsgGQ7tqGR",Faith Kipyegon ako rada tena! Anaeyea kuvunja minute mile si mchezo! Already ameshika world records sasa ni time ya kufanya history Wakenya tusimame na yeye! Tumshow support hadi kwa finish line! KenyaFaith
@MkenyaMzi Yes wameanza rehearsal ya kuzima net kesho walai @safaricom maubwa,Yes wameanza rehearsal ya kuzima net kesho walai maubwa
"The @KenyaAirways and @Safaricom unveiled a strategic partnership for digital transformation, including in-flight Wi-Fi, cybersecurity, and AI-driven customer services. Aviation meets tech—creating smarter, safer passenger experiences.
#KQSustainabilityReport",The and unveiled a strategic partnership for digital transformation including inflight WiFi cybersecurity and AIdriven customer services Aviation meets techcreating smarter safer passenger experiences KQSustainabilityReport
"@jumaf3 @KenyaAirways The @KenyaAirways and @Safaricom unveiled a strategic partnership for digital transformation, including in-flight Wi-Fi, cybersecurity, and AI-driven customer services. Aviation meets tech—creating smarter, safer passenger experiences.
#KQSustainabilityReport",The and unveiled a strategic partnership for digital transformation including inflight WiFi cybersecurity and AIdriven customer services Aviation meets techcreating smarter safer passenger experiences KQSustainabilityReport
@NahashonKimemia @Safaricom washenzi🖕,washenzi
@copshakur @safaricom is the better option,is the better option
@RashaMaya001 @safaricom Diyeem.,Diyeem
@eugene_arogo1 @safaricom We niconecct atutakosana 😭,We niconecct atutakosana
@RashaMaya001 @safaricom Utanijenga Za Macho.,Utanijenga Za Macho
Nyie niconecct na Mzee WA kutoa simu za lipa mdogo mdogo tracker 😫@safaricom must feel it 😭,Nyie niconecct na Mzee WA kutoa simu za lipa mdogo mdogo tracker must feel it
@theMagunga @Safaricom are thugs! I wish I could get good airtel service! Prob with @Airtel is their bogus Network,are thugs! I wish I could get good airtel service! Prob with is their bogus Network
@Itumbi_Denis Forward to your MP and ask him Abt the data protection act. Follow up with safaricom too @safaricom,Forward to your MP and ask him Abt the data protection act Follow up with safaricom too
"If @safaricom doesn't solve this, we will know they work with the scammers",If does not solve this we will know they work with the scammers
"@mmnjug If @safaricom doesn't solve this, we will know they work with the scammers",If does not solve this we will know they work with the scammers
Hello @Safaricom @Safaricom_Care I’m not trying to send any texts…. https://t.co/GTivn2U45A,Hello Im not trying to send any texts
"@SafaricomPLC @PeterNdegwa_ We can only imagine the miles @safaricom would be under @bobcollymore ! - leadership and worthiness  are not in an office ,but the life to it depends on the  holder of the same! Continue resting Bobby!",We can only imagine the miles would be under ! leadership and worthiness are not in an office but the life to it depends on the holder of the same! Continue resting Bobby!
"Wasee wasee,
don't miss your favorite YouTube content, be it movies, music🎧, tutorials, podcast,documentaries or comedy skits.
Dial *544*22# or *555# to get your YouTube data deals today. Watch. Laugh. Learn.  #DiscoverVibeYako. uninterrupted streaming.@Safaricom PLC
@sultan🤘 https://t.co/2V00h3FPoi",Wasee wasee do not miss your favorite YouTube content be it movies music tutorials podcastdocumentaries or comedy skits Dial or to get your YouTube data deals today Watch Laugh Learn DiscoverVibeYako uninterrupted streaming PLC
"And those payments were facilitated by telcos, accountants and bankers. So @Safaricom, @ICPAK @KenyaBankers need to tell the public how this money is being disbursed.",And those payments were facilitated by telcos accountants and bankers So need to tell the public how this money is being disbursed
@lordmetroh_ Uliza @safaricom kama wakona agent number ya uko tuzitoe... we need io 1 milly,Uliza kama wakona agent number ya uko tuzitoe we need io milly
"Come on @safaricom knows exactly where Eliud Lagat's phone was that evening. They can release that information right now and exonerate him, but they haven't. Ask yourself why. 

Arrest Eliud Lagat. Today.

#ArrestEluidLagat #JusticeForAlbertOjwang",Come on knows exactly where Eliud Lagats phone was that evening They can release that information right now and exonerate him but they have not Ask yourself why Arrest Eliud Lagat Today ArrestEluidLagat JusticeForAlbertOjwang
"Time ya kuhama safaricom juu hawajawai tosheka kutuibia
@safaricom https://t.co/QFaJQXj7IF",Time ya kuhama safaricom juu hawajawai tosheka kutuibia
@georgenjoroge_ @safaricom you are out enemy,you are out enemy
"Dear @Safaricom, there appears to be problems with making payments. Unable to buy post paid bundles or use bonga points. Please advise. https://t.co/tFPwqzsgYx",Dear there appears to be problems with making payments Unable to buy post paid bundles or use bonga points Please advise
@C_NyaKundiH @eraadie @safaricom can now help us in this time of our need,can now help us in this time of our need
@WashyGlen @mainandegwa232 @SafaricomPLC @safaricom Fb mkuu ✔️,Fb mkuu
@mainandegwa232 @SafaricomPLC Answer please @safaricom https://t.co/MsuWG50E3W,Answer please
@Kenyans Useless IPoA @safaricom release those communications we see an officer engaging with otherwise we will cancel you,Useless IPoA release those communications we see an officer engaging with otherwise we will cancel you
"@KIMONEKKIMONE @safaricom Same same thing has happened to me
 4Gb gone within two hours",Same same thing has happened to me Gb gone within two hours
"@safaricom You can't be swindling Kenyans of their bundles. No app running in the background, no download done, no WhatsApp calls or videos but bundles are gone within minutes of buying them. https://t.co/LkxeBbYRoT",You cannot be swindling Kenyans of their bundles No app running in the background no download done no WhatsApp calls or videos but bundles are gone within minutes of buying them
@MkenyaD254 We should also start boycotting @Safaricom because it's the tool which is being used to track and abduct our innocent comrades who are being found dead along roadsides and in public mortuaries. #BoycottSafaricom and all the others involved in the abductions.,We should also start boycotting because it is the tool which is being used to track and abduct our innocent comrades who are being found dead along roadsides and in public mortuaries BoycottSafaricom and all the others involved in the abductions
@_fels1 Bora notification from @safaricom isikike.,Bora notification from isikike
"@Newtonnizzoh Wanaboo , how do you report that message.@safaricom",Wanaboo how do you report that message
Kes500 CASH REWARD for you! Enjoy Kes.500 cash back TODAY if you are the 100th customer every hour to send money above Kes.100. @safaricom bana stop this shit hatutaki hii pesa yenu,Kes CASH REWARD for you! Enjoy Kes cash back TODAY if you are the th customer every hour to send money above Kes bana stop this shit hatutaki hii pesa yenu
"@safaricom sitaki wizi yenu, I buy I gb bundles daily that hasn't loaded any damn time then you send me a notification of below 2mbs after 30mins wacheni wizi mbwa nyinyi.",sitaki wizi yenu I buy I gb bundles daily that has not loaded any damn time then you send me a notification of below mbs after mins wacheni wizi mbwa nyinyi
"@safaricom plc
Mswhari isn't working at the moment https://t.co/zKRZOmQ2UK",plc Mswhari is not working at the moment
@SafaricomPLC @Safaricom\_Care why did you block my M-Pesa with money in it? I’ve been going in circles with your support and still no solution. This is frustrating—please fix this urgently!,Care why did you block my MPesa with money in it? Ive been going in circles with your support and still no solution This is frustratingplease fix this urgently!
@mainandegwa232 sasa what did they sue him for? @Safaricom we still want the answer,sasa what did they sue him for? we still want the answer
Hey @safaricom wacheni kuniibia,Hey wacheni kuniibia
@WanjiruNjagiii @safaricom,
https://t.co/CWTK9OZGv1 @safaricom PLC,PLC
Hey @safaricom do you know  my number please?  Am very angry with this government and I fear Subaru,Hey do you know my number please? Am very angry with this government and I fear Subaru
@SafaricomPLC @safaricom why have you closed Tunikiwa gift? My friends are suffering! Sometimes be your brothers keeper,why have you closed Tunikiwa gift? My friends are suffering! Sometimes be your brothers keeper
"@SirMwenyewe You will most likely be accepted. Hapa, wewe na promotional messages za @Safaricom mko same whatsapp group.",You will most likely be accepted Hapa wewe na promotional messages za mko same whatsapp group
"@_James041 Boycott @safaricom
Hauwezi tuwekea shinikizo dhidi ya bundles zangu na mambo na expire",Boycott Hauwezi tuwekea shinikizo dhidi ya bundles zangu na mambo na expire
"@SafaricomPLC Safaricom has been behind this for time and time, everytime Maverick and Gaitho are on the police radar they only gets safe by removing their safaricom lines out of their phones ....you can't just convince people on this @safaricom",Safaricom has been behind this for time and time everytime Maverick and Gaitho are on the police radar they only gets safe by removing their safaricom lines out of their phones you cannot just convince people on this
"@Safaricom  You’ve become the state’s favorite surveillance tool tracking, exposing, and endangering innocent lives. Your monopoly is built on betrayal, and sabotage  We’re not just awake, we’re watching. And we won’t forget. Your days are numbered 
#Justice4AlbertOjwang",Youve become the states favorite surveillance tool tracking exposing and endangering innocent lives Your monopoly is built on betrayal and sabotage Were not just awake were watching And we wont forget Your days are numbered JusticeAlbertOjwang
@Safaricom would explain to us how the police criminal service keeps finding us,would explain to us how the police criminal service keeps finding us
@dissidentkenyan @Goddie_Ke @SafaricomPLC @safaricom @CrystalAsige @OkiyaOmtatah @RichardOnyonka_ Not possible. He is in bed with WanTam.,Not possible He is in bed with WanTam
@Jkchemboy @Safaricom Twaweza Jifanya Sio Sisi Tumekupeana,Twaweza Jifanya Sio Sisi Tumekupeana
@CMukeni @Goddie_Ke @SafaricomPLC @safaricom Peter Ndegwa should be summoned by the Senate @CrystalAsige @OkiyaOmtatah @RichardOnyonka_,Peter Ndegwa should be summoned by the Senate
